,original_index,image_path,mask_path,valid
0,5500,e02b72f7-0e02-4218-a3cc-d376117f80a9-b15-otovowms.jpeg,e02b72f7-0e02-4218-a3cc-d376117f80a9,False
1,5501,8ad52f2f-6201-4f14-8184-227c4a3cc72d-b15-otovowms.jpeg,8ad52f2f-6201-4f14-8184-227c4a3cc72d,True
2,5502,80c95444-7915-48e2-9ffa-9f6e3047b9ed-b15-otovowms.jpeg,80c95444-7915-48e2-9ffa-9f6e3047b9ed,False
3,5503,e4da2c0a-c4c8-4816-a6b0-7a8266a881a4-b15-otovowms.jpeg,e4da2c0a-c4c8-4816-a6b0-7a8266a881a4,False
4,5504,614151e0-863f-42dc-a557-111d7dbee1a4-b15-otovowms.jpeg,614151e0-863f-42dc-a557-111d7dbee1a4,True
5,5505,2a67a3e8-7d0e-4c71-b69e-7e9ceb47710f-b15-otovowms.jpeg,2a67a3e8-7d0e-4c71-b69e-7e9ceb47710f,False
6,5506,2a7a54be-e79a-4fa0-ba7e-120631aaa184-b15-otovowms.jpeg,2a7a54be-e79a-4fa0-ba7e-120631aaa184,False
7,5507,6c37ad8d-f64f-4b6f-ae73-2d8452008243-b15-otovowms.jpeg,6c37ad8d-f64f-4b6f-ae73-2d8452008243,False
8,5508,7b581bfc-b34a-4420-9b32-616404303c8d-b15-otovowms.jpeg,7b581bfc-b34a-4420-9b32-616404303c8d,False
9,5509,4ff00aa8-0d13-46c1-b9a6-cbb724f4618e-b15-otovowms.jpeg,4ff00aa8-0d13-46c1-b9a6-cbb724f4618e,False
10,5510,e2276027-06df-44a9-a24a-5d835c8bcf15-b15-otovowms.jpeg,e2276027-06df-44a9-a24a-5d835c8bcf15,True
11,5511,d3de7af6-fe08-46af-82e2-c5368b4885c1-b15-otovowms.jpeg,d3de7af6-fe08-46af-82e2-c5368b4885c1,False
12,5512,cd83b060-0f7a-4b63-b84d-0340a12990ea-b15-otovowms.jpeg,cd83b060-0f7a-4b63-b84d-0340a12990ea,False
13,5513,d52f8b27-7e0f-49b1-aaff-f72001e29217-b15-otovowms.jpeg,d52f8b27-7e0f-49b1-aaff-f72001e29217,False
14,5514,f0504db3-9889-4734-9d7c-a0edcaa53193-b15-otovowms.jpeg,f0504db3-9889-4734-9d7c-a0edcaa53193,True
15,5515,61305337-8a9f-411e-928f-15c9f1ebf1e5-b15-otovowms.jpeg,61305337-8a9f-411e-928f-15c9f1ebf1e5,True
16,5516,c472cbcc-90e0-42e6-a652-dd98d2b2602c-b15-otovowms.jpeg,c472cbcc-90e0-42e6-a652-dd98d2b2602c,False
17,5517,33f07b11-d904-434b-84ca-47f218ca48ae-b15-otovowms.jpeg,33f07b11-d904-434b-84ca-47f218ca48ae,False
18,5518,390c1751-385a-4d3b-a7c8-ae443665af9b-b15-otovowms.jpeg,390c1751-385a-4d3b-a7c8-ae443665af9b,True
19,5519,a9916d72-1d4c-4860-84ce-440aa027c277-b15-otovowms.jpeg,a9916d72-1d4c-4860-84ce-440aa027c277,False
20,5520,919832d0-d8e8-4ed3-ae90-24eb987e99c5-b15-otovowms.jpeg,919832d0-d8e8-4ed3-ae90-24eb987e99c5,False
21,5521,124d4c1b-d806-4238-88b6-b13b2f6a1fe2-b15-otovowms.jpeg,124d4c1b-d806-4238-88b6-b13b2f6a1fe2,False
22,5522,fcaf2517-305e-4cd3-9c40-4ee43d12e1eb-b15-otovowms.jpeg,fcaf2517-305e-4cd3-9c40-4ee43d12e1eb,False
23,5523,aeab7684-75a1-4077-99f1-2f1ab9ddef2d-b15-otovowms.jpeg,aeab7684-75a1-4077-99f1-2f1ab9ddef2d,True
24,5524,82c76966-a4e8-4334-b68b-a09415320988-b15-otovowms.jpeg,82c76966-a4e8-4334-b68b-a09415320988,True
25,5525,87a84a59-719d-4798-9b38-04f5d5aba0e6-b15-otovowms.jpeg,87a84a59-719d-4798-9b38-04f5d5aba0e6,True
26,5526,5559e796-e423-4ee5-9fdd-b3d716c95e4c-b15-otovowms.jpeg,5559e796-e423-4ee5-9fdd-b3d716c95e4c,False
27,5527,db89d7f5-ae48-472e-a650-09c177400714-b15-otovowms.jpeg,db89d7f5-ae48-472e-a650-09c177400714,True
28,5528,2e1b07f7-4baa-4d0e-bead-fad5c9f892f2-b15-otovowms.jpeg,2e1b07f7-4baa-4d0e-bead-fad5c9f892f2,False
29,5529,cd921f17-9a0a-4fdb-8d7a-95414bedbae5-b15-otovowms.jpeg,cd921f17-9a0a-4fdb-8d7a-95414bedbae5,False
30,5530,252f37c7-1dcd-4c46-bbdb-cec3c6bef35e-b15-otovowms.jpeg,252f37c7-1dcd-4c46-bbdb-cec3c6bef35e,False
31,5531,de757333-e61d-407c-ae7b-2ad44cd89d29-b15-otovowms.jpeg,de757333-e61d-407c-ae7b-2ad44cd89d29,True
32,5532,e135b6d0-9884-4743-8560-10ecf57bf08b-b15-otovowms.jpeg,e135b6d0-9884-4743-8560-10ecf57bf08b,False
33,5533,75a179a6-f9a2-42b3-b682-b1e7addac0ce-b15-otovowms.jpeg,75a179a6-f9a2-42b3-b682-b1e7addac0ce,False
34,5534,d3240c55-facf-4777-9762-a4f9d1f58ae3-b15-otovowms.jpeg,d3240c55-facf-4777-9762-a4f9d1f58ae3,False
35,5535,acaa643e-a038-41b6-bfa5-02c803dac628-b15-otovowms.jpeg,acaa643e-a038-41b6-bfa5-02c803dac628,False
36,5536,5628aaec-2e23-44ca-bb45-ef4d833b0aee-b15-otovowms.jpeg,5628aaec-2e23-44ca-bb45-ef4d833b0aee,False
37,5537,3182af4f-17f9-45ec-8129-a2ddb97cc13a-b15-otovowms.jpeg,3182af4f-17f9-45ec-8129-a2ddb97cc13a,True
38,5538,1065a6d8-15dc-424d-986b-6633bc5f1e9f-b15-otovowms.jpeg,1065a6d8-15dc-424d-986b-6633bc5f1e9f,False
39,5539,07a7904e-20ff-444e-9e5d-11fb2a067a33-b15-otovowms.jpeg,07a7904e-20ff-444e-9e5d-11fb2a067a33,False
40,5540,70db665f-5862-4325-9aa8-4f3f952a7e63-b15-otovowms.jpeg,70db665f-5862-4325-9aa8-4f3f952a7e63,False
41,5541,b7cd31d7-a9b7-485c-9688-54b97c99fa17-b15-otovowms.jpeg,b7cd31d7-a9b7-485c-9688-54b97c99fa17,False
42,5542,29101543-c023-4c36-9821-db793cbdab7c-b15-otovowms.jpeg,29101543-c023-4c36-9821-db793cbdab7c,True
43,5543,c85f69fb-dcbb-4ce1-92ad-1431ebb2d167-b15-otovowms.jpeg,c85f69fb-dcbb-4ce1-92ad-1431ebb2d167,False
44,5544,24d479a4-7b61-4145-8bb7-c7d4df417c3d-b15-otovowms.jpeg,24d479a4-7b61-4145-8bb7-c7d4df417c3d,True
